ALG01;CPV16;IRN05;PAR14
ALG02;CPV17;IRN06;PAR15
ALG03;CPV18;IRN07;PAR16
ALG04;CPV19;IRN08;PAR17
ALG05;CPV20;IRN09;PAR18
ALG06;CRO01;IRN10;PAR19
ALG07;CRO02;IRN11;PAR20
ALG08;CRO03;IRN12;POR01
ALG09;CRO04;IRN13;POR02
ALG10;CRO05;IRN14;POR03
ALG11;CRO06;IRN15;POR04
ALG12;CRO07;IRN16;POR05
ALG13;CRO08;IRN17;POR06
ALG14;CRO09;IRN18;POR07
ALG15;CRO10;IRN19;POR08
ALG16;CRO11;IRN20;POR09
ALG17;CRO12;IRQ01;POR10
ALG18;CRO13;IRQ02;POR11
ALG19;CRO14;IRQ03;POR12
ALG20;CRO15;IRQ04;POR13
ARG01;CRO16;IRQ05;POR14
ARG02;CRO17;IRQ06;POR15
ARG03;CRO18;IRQ07;POR16
ARG04;CRO19;IRQ08;POR17
ARG05;CRO20;IRQ09;POR18
ARG06;CUW01;IRQ10;POR19
ARG07;CUW02;IRQ11;POR20
ARG08;CUW03;IRQ12;QAT01
ARG09;CUW04;IRQ13;QAT02
ARG10;CUW05;IRQ14;QAT03
ARG11;CUW06;IRQ15;QAT04
ARG12;CUW07;IRQ16;QAT05
ARG13;CUW08;IRQ17;QAT06
ARG14;CUW09;IRQ18;QAT07
ARG15;CUW10;IRQ19;QAT08
ARG16;CUW11;IRQ20;QAT09
ARG17;CUW12;JOR01;QAT10
ARG18;CUW13;JOR02;QAT11
ARG19;CUW14;JOR03;QAT12
ARG20;CUW15;JOR04;QAT13
AUS01;CUW16;JOR05;QAT14
AUS02;CUW17;JOR06;QAT15
AUS03;CUW18;JOR07;QAT16
AUS04;CUW19;JOR08;QAT17
AUS05;CUW20;JOR09;QAT18
AUS06;CZE01;JOR10;QAT19
AUS07;CZE02;JOR11;QAT20
AUS08;CZE03;JOR12;RSA01
AUS09;CZE04;JOR13;RSA02
AUS10;CZE05;JOR14;RSA03
AUS11;CZE06;JOR15;RSA04
AUS12;CZE07;JOR16;RSA05
AUS13;CZE08;JOR17;RSA06
AUS14;CZE09;JOR18;RSA07
AUS15;CZE10;JOR19;RSA08
AUS16;CZE11;JOR20;RSA09
AUS17;CZE12;JPN01;RSA10
AUS18;CZE13;JPN02;RSA11
AUS19;CZE14;JPN03;RSA12
AUS20;CZE15;JPN04;RSA13
AUT01;CZE16;JPN05;RSA14
AUT02;CZE17;JPN06;RSA15
AUT03;CZE18;JPN07;RSA16
AUT04;CZE19;JPN08;RSA17
AUT05;CZE20;JPN09;RSA18
AUT06;ECU01;JPN10;RSA19
AUT07;ECU02;JPN11;RSA20
AUT08;ECU03;JPN12;SCO01
AUT09;ECU04;JPN13;SCO02
AUT10;ECU05;JPN14;SCO03
AUT11;ECU06;JPN15;SCO04
AUT12;ECU07;JPN16;SCO05
AUT13;ECU08;JPN17;SCO06
AUT14;ECU09;JPN18;SCO07
AUT15;ECU10;JPN19;SCO08
AUT16;ECU11;JPN20;SCO09
AUT17;ECU12;KOR01;SCO10
AUT18;ECU13;KOR02;SCO11
AUT19;ECU14;KOR03;SCO12
AUT20;ECU15;KOR04;SCO13
BEL01;ECU16;KOR05;SCO14
BEL02;ECU17;KOR06;SCO15
BEL03;ECU18;KOR07;SCO16
BEL04;ECU19;KOR08;SCO17
